,Score,Parameters
0,-3.799999999999983,"{'boosting': 'gbdt', 'feature_fraction': 0.6214067583378589, 'learning_rate': 0.03, 'max_depth': 11, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 80, 'objective': 'multiclass', 'reg_alpha': 0.9554390128896059, 'reg_lambda': 0.9773941265061953, 'seed': 80, 'subsample': 0.5236617096704398, 'verbose': -1}"
0,18.5,"{'boosting': 'gbdt', 'feature_fraction': 0.7684192950891039, 'learning_rate': 0.03, 'max_depth': 18, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 30, 'objective': 'multiclass', 'reg_alpha': 0.3553620851516782, 'reg_lambda': 0.7995356545551454, 'seed': 80, 'subsample': 0.6333231805450013, 'verbose': -1}"
0,-5.199999999999989,"{'boosting': 'gbdt', 'feature_fraction': 0.7668051388964017, 'learning_rate': 0.03, 'max_depth': 18, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 30, 'objective': 'multiclass', 'reg_alpha': 0.2804690042860489, 'reg_lambda': 0.8964694001157225, 'seed': 80, 'subsample': 0.5794967718068906, 'verbose': -1}"
0,-6.199999999999989,"{'boosting': 'gbdt', 'feature_fraction': 0.5123808972582181, 'learning_rate': 0.03, 'max_depth': 23, 'metric': 'multi_error', 'min_child_samples': 40, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 70, 'objective': 'multiclass', 'reg_alpha': 0.0035731488151965474, 'reg_lambda': 0.9936096011384714, 'seed': 80, 'subsample': 0.5232151604534696, 'verbose': -1}"
0,-1.3999999999999915,"{'boosting': 'gbdt', 'feature_fraction': 0.8642315416321155, 'learning_rate': 0.03, 'max_depth': 21, 'metric': 'multi_error', 'min_child_samples': 30, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 30, 'objective': 'multiclass', 'reg_alpha': 0.21852804095306982, 'reg_lambda': 0.9505826623770318, 'seed': 80, 'subsample': 0.9798372246708638, 'verbose': -1}"
0,13.199999999999989,"{'boosting': 'gbdt', 'feature_fraction': 0.8907967173028202, 'learning_rate': 0.03, 'max_depth': 21, 'metric': 'multi_error', 'min_child_samples': 30, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 30, 'objective': 'multiclass', 'reg_alpha': 0.1278663325812121, 'reg_lambda': 0.9137376080165492, 'seed': 80, 'subsample': 0.9740018210660842, 'verbose': -1}"
0,13.59999999999998,"{'boosting': 'gbdt', 'feature_fraction': 0.5450675696463017, 'learning_rate': 0.03, 'max_depth': 8, 'metric': 'multi_error', 'min_child_samples': 20, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 50, 'objective': 'multiclass', 'reg_alpha': 0.9380776751679614, 'reg_lambda': 0.9941458914939111, 'seed': 80, 'subsample': 0.9890146204231456, 'verbose': -1}"
0,2.4000000000000057,"{'boosting': 'gbdt', 'feature_fraction': 0.9919320050180891, 'learning_rate': 0.03, 'max_depth': 19, 'metric': 'multi_error', 'min_child_samples': 40, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 30, 'objective': 'multiclass', 'reg_alpha': 0.049555365643890154, 'reg_lambda': 0.21036179111170938, 'seed': 80, 'subsample': 0.5344778877267348, 'verbose': -1}"
0,-13.400000000000006,"{'boosting': 'gbdt', 'feature_fraction': 0.6571660805644992, 'learning_rate': 0.03, 'max_depth': 21, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 20, 'objective': 'multiclass', 'reg_alpha': 0.5839322303617612, 'reg_lambda': 0.5942670082222248, 'seed': 80, 'subsample': 0.7631566532363863, 'verbose': -1}"
0,13.999999999999986,"{'boosting': 'gbdt', 'feature_fraction': 0.5567234954795133, 'learning_rate': 0.03, 'max_depth': 16, 'metric': 'multi_error', 'min_child_samples': 50, 'min_data_in_leaf': 99, 'n_estimators': 300, 'num_class': 14, 'num_leaves': 20, 'objective': 'multiclass', 'reg_alpha': 0.7656179572128408, 'reg_lambda': 0.5266598133550147, 'seed': 80, 'subsample': 0.6944199609457937, 'verbose': -1}"
